cell_type1	dataset
Mature MNP-b/non-classical monocyte derived_pool1	Mature MNP-b/non-classical monocyte derived	Mature
Mature MNP-b/non-classical monocyte derived_pool2	Mature MNP-b/non-classical monocyte derived	Mature
Mature MNP-b/non-classical monocyte derived_pool3	Mature MNP-b/non-classical monocyte derived	Mature
Mature MNP-c/dendritic cell_pool1	Mature MNP-c/dendritic cell	Mature
Mature Myofibroblast_pool1	Mature Myofibroblast	Mature
Mature NK cell_pool1	Mature NK cell	Mature
Mature NK cell_pool2	Mature NK cell	Mature
Mature NK cell_pool3	Mature NK cell	Mature
Mature NK cell_pool4	Mature NK cell	Mature
Mature NK cell_pool5	Mature NK cell	Mature
Mature NK cell_pool6	Mature NK cell	Mature
Mature NK cell_pool7	Mature NK cell	Mature
Mature NK cell_pool8	Mature NK cell	Mature
Mature NK cell_pool9	Mature NK cell	Mature
Mature NK cell_pool10	Mature NK cell	Mature
Mature NK cell_pool11	Mature NK cell	Mature
Mature NKT cell_pool1	Mature NKT cell	Mature
Mature NKT cell_pool2	Mature NKT cell	Mature
Mature NKT cell_pool3	Mature NKT cell	Mature
Mature NKT cell_pool4	Mature NKT cell	Mature
Mature NKT cell_pool5	Mature NKT cell	Mature
Mature NKT cell_pool6	Mature NKT cell	Mature
Mature Pelvic epithelium_pool1	Mature Pelvic epithelium	Mature
Mature Peritubular capillary endothelium 1_pool1	Mature Peritubular capillary endothelium 1	Mature
Mature Peritubular capillary endothelium 1_pool2	Mature Peritubular capillary endothelium 1	Mature
Mature Peritubular capillary endothelium 1_pool3	Mature Peritubular capillary endothelium 1	Mature
Mature Peritubular capillary endothelium 1_pool4	Mature Peritubular capillary endothelium 1	Mature
Mature Peritubular capillary endothelium 1_pool5	Mature Peritubular capillary endothelium 1	Mature
Mature Peritubular capillary endothelium 2_pool1	Mature Peritubular capillary endothelium 2	Mature
Mature Podocyte_pool1	Mature Podocyte	Mature
Mature Proliferating Proximal Tubule_pool1	Mature Proliferating Proximal Tubule	Mature
Mature Proliferating Proximal Tubule_pool2	Mature Proliferating Proximal Tubule	Mature
Mature Proximal tubule_pool1	Mature Proximal tubule	Mature
Mature Proximal tubule_pool2	Mature Proximal tubule	Mature
Mature Proximal tubule_pool3	Mature Proximal tubule	Mature
Mature Proximal tubule_pool4	Mature Proximal tubule	Mature
Mature Proximal tubule_pool5	Mature Proximal tubule	Mature
Mature Proximal tubule_pool6	Mature Proximal tubule	Mature
Mature Proximal tubule_pool7	Mature Proximal tubule	Mature
Mature Proximal tubule_pool8	Mature Proximal tubule	Mature
Mature Proximal tubule_pool9	Mature Proximal tubule	Mature
Mature Proximal tubule_pool10	Mature Proximal tubule	Mature
Mature Proximal tubule_pool11	Mature Proximal tubule	Mature
Mature Proximal tubule_pool12	Mature Proximal tubule	Mature
Mature Proximal tubule_pool13	Mature Proximal tubule	Mature
Mature Proximal tubule_pool14	Mature Proximal tubule	Mature
Mature Proximal tubule_pool15	Mature Proximal tubule	Mature
Mature Proximal tubule_pool16	Mature Proximal tubule	Mature
Mature Proximal tubule_pool17	Mature Proximal tubule	Mature
Mature Proximal tubule_pool18	Mature Proximal tubule	Mature
Mature Proximal tubule_pool19	Mature Proximal tubule	Mature
